DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTPONCPB,PARTPONCPC,PARTPONCUB,PARTPONCUC,PARTPONCUP,PARTPONCUO,PARTPONTOTAL,PARTPOFFCPB,PARTPOFFCPC,PARTPOFFCUB,PARTPOFFCUC,PARTPOFFCUP,PARTPOFFCUO,PARTPOFFTOTAL,PARTPCPBTOTAL,PARTPCPCTOTAL,PARTPCUBTOTAL,PARTPCUCTOTAL,PARTPCUPTOTAL,PARTPCUOTOTAL,PARTPTOTMILES,PARTPOTHER
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,0,45.72,0,0,0,7.22,52.94,0,0,0,0,0,0,0,0,45.72,0,0,0,7.22,52.94,Undetermined
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,0,282.18,0,0,0,0,282.18,0,0,0,0,0,0,0,0,282.18,0,0,0,0,282.18,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,0,16.95,0,0,0,0,16.95,0,0,0,0,0,0,0,0,16.95,0,0,0,0,16.95,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,0,58.54,0,0,0,0,58.54,0,0,0,0,0,0,0,0,58.54,0,0,0,0,58.54,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,0,84.71,0,0,0,0,84.71,0,0,0,0,0,0,0,0,84.71,0,0,0,0,84.71,
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,0,76.2,0,0,0,77.56,153.76,0,0,0,0,0,0,0,0,76.2,0,0,0,77.56,153.76,Undetermined
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,0,370,0,0,0,122.7,492.7,0,0,0,0,0,0,0,0,370,0,0,0,122.7,492.7,Undetermined
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,0,127.88,0,0,0,0.13,128.01,0,0,0,0,0,0,0,0,127.88,0,0,0,0.13,128.01,Undetermined
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,0,261.13,0,0,0,12.08,273.21,0,0,0,0,0,0,0,0,261.13,0,0,0,12.08,273.21,Undetermined
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,0.1,71.73,0,0,0,0.49,72.32,0,0,0,0,0,0,0,0.1,71.73,0,0,0,0.49,72.32,Undetermined
3/1/2022,2018,20190331,17993,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,2.91,1070.82,0,0,0,105.58,1179.31,0,0,0,0,0,0,0,2.91,1070.82,0,0,0,105.58,1179.31,Undetermined
