DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTF1A,PARTF1B,PARTF1C,PARTF1D,PARTF1DOTH,PARTF1E,PARTF2A1,PARTF2A2,PARTF2A,PARTF2B,PARTF2BHCAOUTSIDE,PARTF2B1,PARTF2B2,PARTF2C1,PARTF2C2,PARTF2C3,PARTF2C4,PARTF2CTOT,PARTF3A,PARTF3B,PARTF3BHCAOUTSIDE,PARTF3C,PARTF3D,PARTF4A,PARTF4A1TOT,PARTF4A11,PARTF4A12,PARTF4B,PARTF4BHCAOUTSIDE,PARTF4B1,PARTF4B2,PARTF4C1,PARTF4C2,PARTF4C3,PARTF4C4,PARTF4CTOT,PARTF5A,PARTF5AOTH,PARTF5A11,PARTF5A12,PARTF5A1TOT,PARTF5B,PARTF5BHCAOUTSIDE,PARTF5B1,PARTF5B2,PARTF5C1,PARTF5C2,PARTF5C3,PARTF5C4,PARTF5CTOT,PARTF6A,PARTF6B,PARTF6BHCAOUTSIDE,PARTF6C,PARTF6D,PARTF6E,PARTF6F,PARTF6G,PARTGMBA,PARTGMRC,PARTGTOTMILES,PARTG1A,PARTG1B,PARTG1TOTMILES
3/1/2022,2019,20200263,17488,117,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,0,0,0,0,,0,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,,1174.55,1446.55,709.69,0,,3330.79,,,803,628,,,,0,5,28,,33,531.58,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,3862.37,628,,33,0,0,,,394.49,555.78,950.27,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,11.21,11.21,11.21,0,,33.63,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,33.63,0,,0,0,0,,,0,9.88,9.88,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,205.86,205.78,33.79,0,,445.43,,,520,144,,,,2,0,118,,120,13.3,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,458.73,144,,120,0,0,,,0,177.53,177.53,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,4.42,4.42,4.42,0,,13.26,,,67,67,,,,,,,,,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,13.26,67,,0,0,0,,,0,1.06,1.06,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,14.74,14.74,0,0,,29.48,,,0,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,29.48,0,,0,0,0,,,0,3.36,3.36,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,29.45,29.45,16.9,0,,75.8,,,0,0,,,,0,0,0,,0,12.96,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,88.76,0,,0,0,0,,,1.06,4.89,5.95,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,110.73,130.58,96.71,0,,338.02,,,119,104,,,,0,5,0,,5,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,338.02,104,,5,0,0,,,0,23.83,23.83,,,
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,729.73,776.71,350.04,0,,1856.48,,,253,156,,,,0,2,4,,6,89.18,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,0,,0,1945.66,156,,6,0,0,,,1.06,151.41,152.47,,,
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,,62.59,62.58,0,0,,125.17,,,,0,,,,0,0,0,,0,0,0,,0,0,0,,,,0,,,,0,0,0,,0,0,,,,,0,,,,0,0,,,0,125.17,0,,0,0,0,,,0,25.34,25.34,,,
