DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTJST20MOREON,PARTJST20MOREOFF,PARTJST20MORETOT,PARTJSTNR20LESSON,PARTJSTR20LESSON,PARTJST20LESSOFF,PARTJST20LESSLOW,PARTJST20LESSTOT,PARTJSTNR_UNK_ON,PARTJSTR_UNK_ON,PARTJST_UNK_OFF,PARTJST_UNK_LOW,PARTJST_UNK_TOT,PARTJNSNR125MOREON,PARTJNSR125MOREON,PARTJNS125MOREOFF,PARTJNSNR125MORETOT,PARTJNSNR125LESSON,PARTJNSR125LESSON,PARTJNS125LESSOFF,PARTJNS125LESSLOW,PARTJNSNR125LESSTOT,PARTJONTOTAL,PARTJOFFTOTAL,PARTJRLSTOTAL,PARTJTOTAL
3/1/2022,2019,20200263,17488,117,AIR PRODUCTS & CHEMICALS INC,CO2,INTRASTATE,TEXAS,12.91,,12.91,,,,,,,,,,,,,,,,,,,,12.91,,,12.91
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ALABAMA,52.95,,52.95,,,,,,,,,,,,,,,,,,,,52.95,,,52.95
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ARKANSAS,282.18,,282.18,,,,,,,,,,,,,,,,,,,,282.18,,,282.18
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,COLORADO,16.95,,16.95,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,16.95,,,16.95
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,ILLINOIS,58.54,,58.54,,,,,,,,,,,,,,,,,,,,58.54,,,58.54
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,KANSAS,84.73,,84.73,,,,,,,,,,,,,,,,,,,,84.73,,,84.73
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,LOUISIANA,153.76,,153.76,,,,,,,,,,,,,,,,,,,,153.76,,,153.76
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MISSISSIPPI,492.7,,492.7,0.38,,,,0.38,,,,,,,,,,,,,,,493.08,,,493.08
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,MONTANA,128.01,,128.01,,,,,,,,,,,,,,,,,,,,128.01,,,128.01
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NEW MEXICO,274.93,,274.93,,,,,,,,,,,,,,,,,,,,274.93,,,274.93
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,NORTH DAKOTA,72.32,,72.32,,,,,,,,,,,,,,,,,,,,72.32,,,72.32
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,OKLAHOMA,1189.19,,1189.19,,,,,,,,,,,,,,,,,,,,1189.19,,,1189.19
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TENNESSEE,6.57,,6.57,,,,,,,,,,,,,,,,,,,,6.57,,,6.57
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,TEXAS,1916.64,,1916.64,1.83,,,,1.83,,,,,,,,,,,,,,,1918.47,,,1918.47
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTERSTATE,WYOMING,550.42,,550.42,0.62,0.49,,,1.11,,,,,,,,,,,,,,,551.53,,,551.53
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,ALABAMA,24.21,,24.21,,,,,,,,,,,,,,,,,,,,24.21,,,24.21
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,CALIFORNIA,634.79,,634.79,0.75,,,,0.75,,,,,,3.94,,,3.94,,,,,,639.48,,,639.48
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,COLORADO,2.39,,2.39,,,,,,,,,,,,,,,,,,,,2.39,,,2.39
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,KANSAS,15.85,,15.85,,,,,,,,,,,,,,,,,,,,15.85,,,15.85
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,LOUISIANA,96.56,,96.56,,,,,,,,,,,,,,,,,,,,96.56,,,96.56
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MISSISSIPPI,53.83,,53.83,,,,,,,,,,,,,,,,,,,,53.83,,,53.83
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,MONTANA,4.07,,4.07,,,,,,,,,,,,,,,,,,,,4.07,,,4.07
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,NEW MEXICO,87.89,,87.89,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,87.89,,,87.89
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,OKLAHOMA,681.24,,681.24,,,,,,,,,,,,,,,,,,,,681.24,,,681.24
3/1/2022,2019,20200336,17964,300,"PLAINS PIPELINE, L.P.",Crude Oil,INTRASTATE,TEXAS,2714.34,,2714.34,125.24,85.59,,,210.83,,,,,,,,,,,,,,,2925.17,,,2925.17
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTERSTATE,MICHIGAN,72.54,,72.54,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,72.54,,,72.54
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,CALIFORNIA,43.04,,43.04,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,43.04,,,43.04
3/1/2022,2019,20200337,18153,300,"PLAINS PIPELINE, L.P.",HVL,INTRASTATE,TEXAS,9.15,,9.15,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,9.15,,,9.15
3/1/2022,2019,20200338,17568,300,"PLAINS PIPELINE, L.P.",Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,3.72,,3.72,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,3.72,,,3.72
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,272.7,,272.7,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,272.7,,,272.7
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,257.9,,257.9,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,257.9,,,257.9
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,121.4,,121.4,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,121.4,,,121.4
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,162.4,,162.4,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,162.4,,,162.4
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MINNESOTA,126.2,,126.2,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,126.2,,,126.2
3/1/2022,2019,20200172,17395,395,AMOCO OIL CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,211.6,,211.6,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,211.6,,,211.6
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,COLORADO,142.73,,142.73,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,142.73,,,142.73
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,TEXAS,317.72,,317.72,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,317.72,,,317.72
3/1/2022,2019,20200560,18002,473,ANADARKO PETROLEUM CORP,Crude Oil,INTRASTATE,WYOMING,31.6,,31.6,,,,,,,,,,,,,,,,,,,,31.6,,,31.6
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,COLORADO,72.7,,72.7,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,72.7,,,72.7
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,TEXAS,51.72,,51.72,,,,,,,,,,,,,,,,,,,,51.72,,,51.72
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,UTAH,31.3,,31.3,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,31.3,,,31.3
3/1/2022,2019,20200561,17806,473,ANADARKO PETROLEUM CORP,HVL,INTRASTATE,WYOMING,4,,4,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,4,,,4
3/1/2022,2019,20200232,17456,515,DAKOTA GASIFICATION COMPANY,CO2,INTERSTATE,NORTH DAKOTA,167.04,,167.04,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,167.04,,,167.04
3/1/2022,2019,20200508,17752,879,CHEMOIL TERMINALS CORP.,Refined and/or Petroleum Product (non-HVL),INTRASTATE,CALIFORNIA,11.3,,11.3,0.61,,,,0.61,,,,,,,,,,,,,,,11.91,,,11.91
3/1/2022,2019,20200367,17600,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",Crude Oil,INTERSTATE,OCS-Gulf of Mexico,,23.2,23.2,,,0,,0,,,0,,0,,,0,0,,,0,,0,,23.2,,23.2
3/1/2022,2019,20200175,17398,999,"PACIFIC COAST ENERGY COMPANY, LP",Crude Oil,INTRASTATE,CALIFORNIA,0,,0,1.7,,,,1.7,,,,,,,,,,,,,,,1.7,,,1.7
3/1/2022,2019,20200666,17927,1047,HESS CORPORATION,Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,16,,16,,,,,,,,,,,,,,,,,,,,16,,,16
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,94,,94,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,94,,,94
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,NORTH DAKOTA,171,,171,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,171,,,171
3/1/2022,2019,20200526,17770,1248,BELLE FOURCHE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,417,,417,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,417,,,417
3/1/2022,2019,20200527,17771,1248,BELLE FOURCHE PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,WYOMING,76,,76,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,76,,,76
3/1/2022,2019,20200269,17494,1541,"BP PIPELINES (ALASKA), INC",Crude Oil,INTRASTATE,ALASKA,28.1,,28.1,6.3,0,,,6.3,0,0,,,0,0,0,,0,0,0,,,0,34.4,,,34.4
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,INDIANA,1.641,,1.641,,,,,,,,,,,,,,,,,,,,1.641,,,1.641
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTERSTATE,OHIO,1.168,,1.168,,,,,,,,,,,,,,,,,,,,1.168,,,1.168
3/1/2022,2019,20200580,18017,1845,"BUCKEYE PARTNERS, LP",Crude Oil,INTRASTATE,TEXAS,3.766,,3.766,3.219,,,,3.219,,,,,,,,,,,,,,,6.985,,,6.985
3/1/2022,2019,20200581,17828,1845,"BUCKEYE PARTNERS, LP",Fuel Grade Ethanol (dedicated system),INTERSTATE,FLORIDA,,,,1.722,,,,1.722,,,,,,,,,,,,,,,1.722,,,1.722
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,FLORIDA,,,,1.733,,,,1.733,,,,,,,,,,,,,,,1.733,,,1.733
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,ILLINOIS,13.54,,13.54,,,,,,,,,,,,,,,,,,,,13.54,,,13.54
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,INDIANA,1.819,,1.819,,,,,,,,,,,,,,,,,,,,1.819,,,1.819
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTERSTATE,OHIO,0.928,,0.928,,,,,,,,,,,,,,,,,,,,0.928,,,0.928
3/1/2022,2019,20200582,17829,1845,"BUCKEYE PARTNERS, LP",HVL,INTRASTATE,TEXAS,15.791,,15.791,0.945,,,,0.945,,,,,,,,,,,,,,,16.736,,,16.736
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,CONNECTICUT,70.525,,70.525,20.122,,,,20.122,,,,,,,,,,,,,,,90.647,,,90.647
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,ILLINOIS,1031.574,,1031.574,8.503,,,,8.503,,,,,,,,,,,,,,,1040.077,,,1040.077
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,INDIANA,912.649,,912.649,22.077,,,,22.077,,,,,,,,,,,,,,,934.726,,,934.726
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,IOWA,328.064,,328.064,,,,,,,,,,,,,,,,,,,,328.064,,,328.064
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MAINE,124.244,,124.244,,,,,,,,,,,,,,,,,,,,124.244,,,124.244
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MASSACHUSETTS,14.392,,14.392,6.557,,,,6.557,,,,,,,,,,,,,,,20.949,,,20.949
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MICHIGAN,381.487,,381.487,11.889,,,,11.889,,,,,,,,,,,,,,,393.376,,,393.376
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,MISSOURI,266.601,,266.601,16.376,,,,16.376,,,,,,,,,,,,,,,282.977,,,282.977
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW JERSEY,146.274,,146.274,2.446,,,,2.446,,,,,,,,,,,,,,,148.72,,,148.72
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,NEW YORK,610.921,,610.921,15.999,2.595,,,18.594,,,,,,,,,,,,,,,629.515,,,629.515
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,OHIO,1074.477,,1074.477,13.338,,,,13.338,,,,,,,,,,,,,,,1087.815,,,1087.815
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTERSTATE,PENNSYLVANIA,1118.744,,1118.744,5.831,,,,5.831,,,,,,,,,,,,,,,1124.575,,,1124.575
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,ALABAMA,1.98,,1.98,,,,,,,,,,,,,,,,,,,,1.98,,,1.98
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,IOWA,0.073,,0.073,,,,,,,,,,,,,,,,,,,,0.073,,,0.073
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,NEW JERSEY,0.234,,0.234,,,,,,,,,,,,,,,,,,,,0.234,,,0.234
3/1/2022,2019,20200583,18018,1845,"BUCKEYE PARTNERS, LP",Refined and/or Petroleum Product (non-HVL),INTRASTATE,TEXAS,2.668,,2.668,4.711,,,,4.711,,,,,,,,,,,,,,,7.379,,,7.379
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,MONTANA,222,,222,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,222,,,222
3/1/2022,2019,20200528,17772,1960,BUTTE PIPELINE CO,Crude Oil,INTERSTATE,WYOMING,237,,237,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,237,,,237
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,LOUISIANA,166.11,,166.11,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,166.11,,,166.11
3/1/2022,2019,20200047,17257,2162,DOW PIPELINE CO - CAYUSE,HVL,INTERSTATE,TEXAS,82.63,,82.63,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,82.63,,,82.63
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,MONTANA,298.74,,298.74,0,0,,,0,0,0,,,0,0,0,,0,0,0,,,0,298.74,,,298.74
3/1/2022,2019,20200616,17866,2170,CENEX PIPELINE LLC,Refined and/or Petroleum Product (non-HVL),INTERSTATE,NORTH DAKOTA,386.89,,386.89,,,,,,,,,,,,,,,,,,,,386.89,,,386.89
3/1/2022,2019,20200146,17369,2190,CENTRAL FLORIDA PIPELINE CORP,Refined and/or Petroleum Product (non-HVL),INTRASTATE,FLORIDA,194.52,,194.52,11.16,0,,,11.16,0,0,,,0,0,0,,0,0,0,,,0,205.68,,,205.68
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,LOUISIANA,22.232,,22.232,0,,,,0,,,,,,,,,,,,,,,22.232,,,22.232
3/1/2022,2019,20200264,17489,2387,CITGO PIPELINE CO,Crude Oil,INTERSTATE,TEXAS,41.823,,41.823,17.887,,,,17.887,,,,,,,,,,,,,,,59.71,,,59.71
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,ALABAMA,409.14,,409.14,4.52,0.13,,,4.65,0,0,,,0,0,0,,0,0,0,,,0,413.79,,,413.79
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,DELAWARE,2.89,,2.89,0,1.36,,,1.36,0,0,,,0,0,0,,0,0,0,,,0,4.25,,,4.25
3/1/2022,2019,20200206,17429,2552,COLONIAL PIPELINE CO,Refined and/or Petroleum Product (non-HVL),INTERSTATE,GEORGIA,1052.21,,1052.21,10.46,15.64,,,26.1,0,0,,,0,0,0,,0,0,0,,,0,1078.31,,,1078.31
