DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,LNG_FACILITY_ID,FACILITY_NAME,UNIT_ID,NPMS_LNG_ID,FACILITY_STATE,FACILITY_ZIP_CODE,FACILITY_STATUS,IN_SERVICE_SINCE,LIQUEFACTION_RATE,NO_OF_VAPORIZERS,TOTAL_CAPACITY_MMCF,LNG_SOURCE,INTER_INTRA_STATE,NO_OF_LNG_TANKS,TOTAL_CAPACITY_BBLS,TYPE_OF_FACILITY,TYPE_OF_FACILITY_OTHER,FUNCTION_OF_FACILITY,FUNCTION_OF_FACILITY_OTHER,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
03/01/22,2017,20180502,832,180,SPIRE ALABAMA INC.,1729,PINSON LNG FACILITY,89343,BG-LNG-01,AL,35215,In Service,10/15/1965,12,5,120,Liquefaction,Intrastate,2,350000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/15/2018,3/15/2018
03/01/22,2017,20180502,832,180,SPIRE ALABAMA INC.,1730,COOSADA LNG FACILITY,89340,MO-LNG-01,AL,36020,In Service,10/16/1972,2,3,80,Liquefaction,Intrastate,1,175000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/15/2018,3/15/2018
03/01/22,2017,20180502,832,180,SPIRE ALABAMA INC.,1731,EAST LAUDERDALE LNG FACILITY,89342,ELA-LNG-03,AL,35645,In Service,12/15/1995,0,4,2.988,Truck,Intrastate,2,1667,Satellite,,Storage w/o Liquefaction,,INITIAL,3/15/2018,3/15/2018
03/01/22,2017,20180502,832,180,SPIRE ALABAMA INC.,1732,DOUBLE SPRINGS LNG FACILITY,89341,,AL,35553,In Service,12/15/1995,0,2,0.768,Truck,Intrastate,1,357,Satellite,,Storage w/o Liquefaction,,INITIAL,3/15/2018,3/15/2018
03/01/22,2017,20180438,761,792,ATLANTA GAS LIGHT CO,1593,MACON,89345,1078,GA,31210,In Service,10/1/1977,10,2,150,Liquefaction,Intrastate,1,450000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/9/2018,2/9/2018
03/01/22,2017,20180438,761,792,ATLANTA GAS LIGHT CO,1594,CHEROKEE,89344,362,GA,30107,In Service,7/31/1988,10,6,624,Liquefaction,Intrastate,1,600000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/9/2018,2/9/2018
03/01/22,2017,20180438,761,792,ATLANTA GAS LIGHT CO,1595,RIVERDALE,89346,1069,GA,30274,In Service,6/28/1972,10,7,400,Liquefaction,Intrastate,2,740000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,2/9/2018,2/9/2018
03/01/22,2017,20180449,774,909,"AUSTELL NATURAL GAS SYSTEM, CITY OF",1622,AGS LNG PLANT,89347,777,GA,30106,In Service,6/22/1972,0,1,24,Truck,Intrastate,1,23300,Satellite,,Storage w/o Liquefaction,,INITIAL,2/19/2018,2/19/2018
03/01/22,2017,20180496,825,1088,BALTIMORE GAS AND ELECTRIC COMPANY,1628,SPRING GARDENS,89348,100402,MD,21230,In Service,3/1/1971,5.75,4,312,Liquefaction,Intrastate,3,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/14/2018,3/14/2018
03/01/22,2017,20180497,826,1209,COLUMBIA GAS OF MASSACHUSETTS,1685,EASTON LNG,89349,1002,MA,,In Service,5/16/1972,0,3,50,Truck,Intrastate,1,223000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/14/2018,3/14/2018
03/01/22,2017,20180497,826,1209,COLUMBIA GAS OF MASSACHUSETTS,1686,LAWRENCE LNG,89350,4001,MA,,In Service,1/1/1972,0,2,19,Truck,Intrastate,5,3589,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/14/2018,3/14/2018
03/01/22,2017,20180497,826,1209,COLUMBIA GAS OF MASSACHUSETTS,1687,MARSHFIELD LNG,89352,1001,MA,,In Service,1/1/1973,0,1,13,Truck,Intrastate,2,3548,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/14/2018,3/14/2018
03/01/22,2017,20180497,826,1209,COLUMBIA GAS OF MASSACHUSETTS,1688,LUDLOW LNG,89351,,MA,,In Service,8/15/1973,8,3,48,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/ Liquefaction,,INITIAL,3/14/2018,3/14/2018
03/01/22,2017,20180439,762,1344,BERKSHIRE GAS CO,1585,WHATELY LNG PLANT,89353,WHATELY LNG,MA,01201,In Service,1/15/2000,0,1,3,Truck,Intrastate,2,3334,Satellite,,Storage w/o Liquefaction,,INITIAL,2/12/2018,2/12/2018
03/01/22,2017,20180492,821,1640,BOSTON GAS CO,1721,SALEM LNG PLANT,89356,,MA,01970,In Service,1/1/1972,0,2,30,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/13/2018,3/13/2018
03/01/22,2017,20180492,821,1640,BOSTON GAS CO,1722,LYNN LNG PLANT,89355,,MA,01901,In Service,1/1/1972,0,4,116,Truck,Intrastate,1,290000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/13/2018,3/13/2018
03/01/22,2017,20180492,821,1640,BOSTON GAS CO,1724,COMMERCIAL POINT DORCHESTER-MA,89354,,MA,02122,In Service,1/1/1969,0,3,187.2,Truck,Intrastate,1,331000,Peak Shaving,,Storage w/o Liquefaction,,INITIAL,3/13/2018,3/13/2018
03/01/22,2017,20180452,819,1800,KEYSPAN ENERGY DELIVERY - NY CITY,1753,LNG PLANT GREENPOINT,89357,,NY,11211,In Service,1/1/1968,8.5,6,300,Liquefaction,Intrastate,2,465000,Peak Shaving,,Storage w/ Liquefaction,,SUPPLEMENTAL,2/22/2018,3/12/2018
03/01/22,2017,20180456,827,2066,CAPE COD GAS CO (DIV OF COLONIAL GAS CO),1759,LNG PLANT WAREHAM-MA,89359,,MA,02571,In Service,1/1/1974,0,2,4.3,Truck,Intrastate,2,2450,Satellite,,Storage w/o Liquefaction,,SUPPLEMENTAL,2/22/2018,3/14/2018
03/01/22,2017,20180456,827,2066,CAPE COD GAS CO (DIV OF COLONIAL GAS CO),1760,LNG PLANT SOUTH YARMOUTH-MA,89358,,MA,02664,In Service,1/1/1975,0,4,26.4,Truck,Intrastate,1,50000,Peak Shaving,,Storage w/o Liquefaction,,SUPPLEMENTAL,2/22/2018,3/14/2018
