DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,OFFICE_ADDRESS_STREET,OFFICE_ADDRESS_CITY,OFFICE_ADDRESS_COUNTY,OFFICE_ADDRESS_STATE,OFFICE_ADDRESS_ZIP,HQ_ADDRESS_STREET,HQ_ADDRESS_CITY,HQ_ADDRESS_COUNTY,HQ_ADDRESS_STATE,HQ_ADDRESS_ZIP,COMMODITY,STOP,OPERATOR_TYPE,MMILES_STEEL_UNP_BARE,MMILES_STEEL_UNP_COATED,MMILES_STEEL_CP_BARE,MMILES_STEEL_CP_COATED,MMILES_PLASTIC,MMILES_CI,MMILES_DI,MMILES_CU,MMILES_OTHER,MMILES_RCI,MMILES_TOTAL,NUM_SRVS_STEEL_UNP_BARE,NUM_SRVS_STEEL_UNP_COATED,NUM_SRVS_STEEL_CP_BARE,NUM_SRVS_STEEL_CP_COATED,NUM_SRVS_PLASTIC,NUM_SRVS_CI,NUM_SRVS_DI,NUM_SRVS_CU,NUM_SRVS_OTHER,NUM_SRVS_RCI,NUM_SRVCS_TOTAL,MMILES_STEEL_UNK,MMILES_STEEL_LT2IN,MMILES_STEEL_2IN_TO_4IN,MMILES_STEEL_4IN_TO_8IN,MMILES_STEEL_8IN_TO_12IN,MMILES_STEEL_GT12IN,MMILES_STEEL_TOTAL,MMILES_DI_UNK,MMILES_DI_LT2IN,MMILES_DI_2IN_TO_4IN,MMILES_DI_4IN_TO_8IN,MMILES_DI_8IN_TO_12IN,MMILES_DI_GT12IN,MMILES_DI_TOTAL,MMILES_CU_UNK,MMILES_CU_LT2IN,MMILES_CU_2IN_TO_4IN,MMILES_CU_4IN_TO_8IN,MMILES_CU_8IN_TO_12IN,MMILES_CU_GT12IN,MMILES_CU_TOTAL,MMILES_CI_WR_UNK,MMILES_CI_WR_LT2IN,MMILES_CI_WR_2IN_TO_4IN,MMILES_CI_WR_4IN_TO_8IN,MMILES_CI_WR_8IN_TO_12IN,MMILES_CI_WR_GT12IN,MMILES_CI_WR_TOTAL,MMILES_PLASTIC_UNK,MMILES_PLASTIC_LT2IN,MMILES_PLASTIC_2IN_TO_4IN,MMILES_PLASTIC_4IN_TO_8IN,MMILES_PLASTIC_8IN_TO_12IN,MMILES_PLASTIC_GT12IN,MMILES_PLASTIC_TOTAL,MMILES_PE_UNK,MMILES_PE_LT2IN,MMILES_PE_2IN_TO_4IN,MMILES_PE_4IN_TO_8IN,MMILES_PE_8IN_TO_12IN,MMILES_PE_GT12IN,MMILES_PE_TOTAL,MMILES_ABS_UNK,MMILES_ABS_LT2IN,MMILES_ABS_2IN_TO_4IN,MMILES_ABS_4IN_TO_8IN,MMILES_ABS_8IN_TO_12IN,MMILES_ABS_GT12IN,MMILES_ABS_TOTAL,MMILES_OTH_PLSTC_UNK,MMILES_OTH_PLSTC_LT2IN,MMILES_OTH_PLSTC_2IN_TO_4IN,MMILES_OTH_PLSTC_4IN_TO_8IN,MMILES_OTH_PLSTC_8IN_TO_12IN,MMILES_OTH_PLSTC_GT12IN,MMILES_OTH_PLSTC_TOTAL,MMILES_OTHER_UNK,MMILES_OTHER_LT2IN,MMILES_OTHER_2IN_TO_4IN,MMILES_OTHER_4IN_TO_8IN,MMILES_OTHER_8IN_TO_12IN,MMILES_OTHER_GT12IN,MMILES_OTHER_TOTAL,MMILES_OTHER_MATERIAL_DETAIL,MMILES_RCI_UNK,MMILES_RCI_LT2IN,MMILES_RCI_2IN_TO_4IN,MMILES_RCI_4IN_TO_8IN,MMILES_RCI_8IN_TO_12IN,MMILES_RCI_GT12IN,MMILES_RCI_TOTAL,MMILES_UNK_TOTAL,MMILES_LT2IN_TOTAL,MMILES_2IN_TO_4IN_TOTAL,MMILES_4IN_TO_8IN_TOTAL,MMILES_8IN_TO_12IN_TOTAL,MMILES_GT12IN_TOTAL,MMILES_PART_B2_TOTAL,AVERAGE_LENGTH,NUM_SRVS_STEEL_UNK,NUM_SRVS_STEEL_LT1IN,NUM_SRVS_STEEL_1IN_TO_2IN,NUM_SRVS_STEEL_2IN_TO_4IN,NUM_SRVS_STEEL_4IN_TO_8IN,NUM_SRVS_STEEL_GT8IN,NUM_SRVS_STEEL_TOTAL,NUM_SRVS_DI_UNK,NUM_SRVS_DI_LT1IN,NUM_SRVS_DI_1IN_TO_2IN,NUM_SRVS_DI_2IN_TO_4IN,NUM_SRVS_DI_4IN_TO_8IN,NUM_SRVS_DI_GT8IN,NUM_SRVS_DI_TOTAL,NUM_SRVS_CU_UNK,NUM_SRVS_CU_LT1IN,NUM_SRVS_CU_1IN_TO_2IN,NUM_SRVS_CU_2IN_TO_4IN,NUM_SRVS_CU_4IN_TO_8IN,NUM_SRVS_CU_GT8IN,NUM_SRVS_CU_TOTAL,NUM_SRVS_CI_WR_UNK,NUM_SRVS_CI_WR_LT1IN,NUM_SRVS_CI_WR_1IN_TO_2IN,NUM_SRVS_CI_WR_2IN_TO_4IN,NUM_SRVS_CI_WR_4IN_TO_8IN,NUM_SRVS_CI_WR_GT8IN,NUM_SRVS_CI_WR_TOTAL,NUM_SRVS_PLASTIC_UNK,NUM_SRVS_PLASTIC_LT1IN,NUM_SRVS_PLASTIC_1IN_TO_2IN,NUM_SRVS_PLASTIC_2IN_TO_4IN,NUM_SRVS_PLASTIC_4IN_TO_8IN,NUM_SRVS_PLASTIC_GT8IN,NUM_SRVS_PLASTIC_TOTAL,NUM_SRVS_PE_UNK,NUM_SRVS_PE_LT1IN,NUM_SRVS_PE_1IN_TO_2IN,NUM_SRVS_PE_2IN_TO_4IN,NUM_SRVS_PE_4IN_TO_8IN,NUM_SRVS_PE_GT8IN,NUM_SRVS_PE_TOTAL,NUM_SRVS_ABS_UNK,NUM_SRVS_ABS_LT1IN,NUM_SRVS_ABS_1IN_TO_2IN,NUM_SRVS_ABS_2IN_TO_4IN,NUM_SRVS_ABS_4IN_TO_8IN,NUM_SRVS_ABS_GT8IN,NUM_SRVS_ABS_TOTAL,NUM_SRVS_OTH_PLSTC_UNK,NUM_SRVS_OTH_PLSTC_LT1IN,NUM_SRVS_OTH_PLSTC_1IN_TO_2IN,NUM_SRVS_OTH_PLSTC_2IN_TO_4IN,NUM_SRVS_OTH_PLSTC_4IN_TO_8IN,NUM_SRVS_OTH_PLSTC_GT8IN,NUM_SRVS_OTH_PLSTC_TOTAL,NUM_SRVS_OTHER_UNK,NUM_SRVS_OTHER_LT1IN,NUM_SRVS_OTHER_1IN_TO_2IN,NUM_SRVS_OTHER_2IN_TO_4IN,NUM_SRVS_OTHER_4IN_TO_8IN,NUM_SRVS_OTHER_GT8IN,NUM_SRVS_OTHER_TOTAL,NUM_SRVS_OTHER_MATERIAL_DETAIL,NUM_SRVS_RCI_UNK,NUM_SRVS_RCI_LT1IN,NUM_SRVS_RCI_1IN_TO_2IN,NUM_SRVS_RCI_2IN_TO_4IN,NUM_SRVS_RCI_4IN_TO_8IN,NUM_SRVS_RCI_GT8IN,NUM_SRVS_RCI_TOTAL,NUM_SRVS_UNK_TOTAL,NUM_SRVS_LT1IN_TOTAL,NUM_SRVS_1IN_TO_2IN_TOTAL,NUM_SRVS_2IN_TO_4IN_TOTAL,NUM_SRVS_4IN_TO_8IN_TOTAL,NUM_SRVS_GT8IN_TOTAL,NUM_SRVS_PART_B3_TOTAL,MMILES_BY_DCD_UNK,MMILES_BY_DCD_PRE1940,MMILES_BY_DCD_1940_TO_1949,MMILES_BY_DCD_1950_TO_1959,MMILES_BY_DCD_1960_TO_1969,MMILES_BY_DCD_1970_TO_1979,MMILES_BY_DCD_1980_TO_1989,MMILES_BY_DCD_1990_TO_1999,MMILES_BY_DCD_2000_TO_2009,MMILES_BY_DCD_2010_TO_2019,MMILES_BY_DCD_2020_TO_2029,MMILES_BY_DCD_TOTAL,NUM_SRVS_BY_DCD_UNK,NUM_SRVS_BY_DCD_PRE1940,NUM_SRVS_BY_DCD_1940_TO_1949,NUM_SRVS_BY_DCD_1950_TO_1959,NUM_SRVS_BY_DCD_1960_TO_1969,NUM_SRVS_BY_DCD_1970_TO_1979,NUM_SRVS_BY_DCD_1980_TO_1989,NUM_SRVS_BY_DCD_1990_TO_1999,NUM_SRVS_BY_DCD_2000_TO_2009,NUM_SRVS_BY_DCD_2010_TO_2019,NUM_SRVS_BY_DCD_2020_TO_2029,NUM_SRVS_BY_DCD_TOTAL,TOTAL_LEAKS_COR_MAINS,TOTAL_LEAKS_NF_MAINS,TOTAL_LEAKS_EX_MAINS,TOTAL_LEAKS_OF_DAM_MAINS,TOTAL_LEAKS_MAT_WELD_MAINS,TOTAL_LEAKS_EQ_MAINS,TOTAL_LEAKS_OP_MAINS,TOTAL_LEAKS_OT_MAINS,TOTAL_LEAKS_COR_SRVS,TOTAL_LEAKS_NF_SRVS,TOTAL_LEAKS_EX_SRVS,TOTAL_LEAKS_OF_DAM_SRVS,TOTAL_LEAKS_MAT_WELD_SRVS,TOTAL_LEAKS_EQ_SRVS,TOTAL_LEAKS_OP_SRVS,TOTAL_LEAKS_OT_SRVS,TOTAL_HAZLEAKS_COR_MAINS,TOTAL_HAZLEAKS_NF_MAINS,TOTAL_HAZLEAKS_EX_MAINS,TOTAL_HAZLEAKS_OF_DAM_MAINS,TOTAL_HAZLEAKS_MAT_WELD_MAINS,TOTAL_HAZLEAKS_EQ_MAINS,TOTAL_HAZLEAKS_OP_MAINS,TOTAL_HAZLEAKS_OT_MAINS,TOTAL_HAZLEAKS_COR_SRVS,TOTAL_HAZLEAKS_NF_SRVS,TOTAL_HAZLEAKS_EX_SRVS,TOTAL_HAZLEAKS_OF_DAM_SRVS,TOTAL_HAZLEAKS_MAT_WELD_SRVS,TOTAL_HAZLEAKS_EQ_SRVS,TOTAL_HAZLEAKS_OP_SRVS,TOTAL_HAZLEAKS_OT_SRVS,KNOWN_LEAKS,FED_LAND_LEAKS_REPAIRED,PERCENT_UNACC_GAS,EXCAV_DAMAGES,EXCAV_ONECALL,EXCAV_LOCATING,EXCAV_EXCAV,EXCAV_OTHER,EXCAV_TICKETS,EFV_INSTALLED_CY,EFV_IN_SYSTEM,SHUTOFF_VALVE_INSTALLED_CY,SHUTOFF_VALVE_IN_SYSTEM,ADDITIONAL_INFORMATION,PREPARERS_NAME,PREPARERS_TITLE,PREPARERS_PHONE,PREPARERS_FAX,PREPARERS_EMAIL,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
3/1/2022,2019,20200475,39670,18,"ABBYVILLE, CITY OF",PO BOX 100,ABBYVILLE,,KS,67510,P O BOX 100,ABBYVILLE,,KS,67510,Natural Gas,KS,Municipal Owned,0,0,0,3,0,0,0,0,0,0,3,0,0,0,51,1,0,0,0,0,0,52,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,3,35,0,0,51,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,52,0,0,0,52,0,0,0,3,0,0,0,0,0,0,,3,0,0,0,51,0,0,0,0,1,0,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,10,0,0,0,0,,Stacey Castle,agent,(620)286-5643,,cityofabbyville@hotmail.com,INITIAL,2/24/2020,2/24/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20201435,40834,27,ABITA SPRINGS NAT GAS & WATER,PO BOX 461,ABITA SPRINGS,,LA,70420-2321,"22161 LEVEL STREET, PO BOX 461",ABITA SPRINGS,,LA,70420,Natural Gas,LA,Municipal Owned,0,0,0,26,2,0,0,0,0,0,28,0,0,0,511,407,0,0,0,0,0,918,0,0,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,28,0,0,0,28,30,0,511,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,918,0,0,0,0,918,0,0,0,0,0,0,0,0,28,0,,28,0,0,0,0,0,0,0,0,852,66,,918,,,1,,1,,,,4,,,5,,3,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,,658,18,59,0,25,,Kristin Tortorich,Director of Public Works,(985)892-0711,,Ktortorich@abitaspringsla.gov,INITIAL,4/16/2020,4/16/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20200628,39861,45,"ADAIRSVILLE, CITY OF",116 Public Square,Adairsville,,GA,30103,116 PUBLIC SQUARE,ADAIRSVILLE,,GA,30103,Natural Gas,GA,Municipal Owned,0,0,0,22.02,68.07,0,0,0,0,0,90.09,1,0,10,3,1666,0,0,0,0,0,1680,0,6.83,6.68,8.51,0,0,22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.76,21.48,1.83,0,0,68.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,51.59,28.16,10.34,0,0,90.09,100,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628,34,4,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1642,34,4,0,0,1680,0,0,0,0,3.44,6,9,8.98,31,31.67,,90.09,4,0,0,0,47,72,356,283,671,247,,1680,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,0,0,-1.4,1,0,0,1,0,1847,70,1121,0,0,"This report prepared by :Maurice Chaney Municipal Gas Authority of Georgia 104 Town Park Dr. Kennesaw, Ga. 30144 This report was compiled from information supplied by: Dwayne Muse, Gas Systems Manager, City of Adairsville",MAURICE CHANEY,agent,(770) 851-3094,678-819-0957,mchaney@gasauthority.com,INITIAL,3/2/2020,3/2/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20200888,40156,49,TOWN OF ADAMSVILLE GAS DEPT,203 Sunrise Drive 231 East Main Street,Adamsville,,TN,38310,231 EAST MAIN STREET,ADAMSVILLE,,TN,38310,Natural Gas,TN,Municipal Owned,0,0,0,92.359,78.757,0,0,0,0,0,171.116,0,0,0,723,1314,0,0,0,0,0,2037,0,66.359,15,11,0,0,92.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.457,0.3,5,0,0,78.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,139.816,15.3,16,0,0,171.116,75.08,0,708,8,7,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2022,8,7,0,0,2037,126,0,0,0,0,0,0,0,0,45.141,,171.141,1710,0,0,0,0,0,0,0,0,327,,2037,0,0,1,0,0,0,0,0,2,2,1,4,0,6,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,12.59,2,0,0,2,0,780,18,630,1,3,We are continuously having problems with the our meter transponders. We are in the process of doing a system wide audit on our transponders. When the audit is complete and the verification has been confirmed we will be going back to a manual read in till a better option is available.,Scott Klinck,Public Works Director,(731) 632-4214,(731) 610-8983,sklinck@cityofadamsville.com,INITIAL,3/10/2020,3/10/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20201062,40352,54,"ADEL GAS DEPT, CITY OF",310 - East Lake Dr.,GA,Cook,GA,31643,P.O. BOX 1530,ADEL,,GA,31620,Natural Gas,GA,Municipal Owned,,,,29.5,29.11,0,0,0,0,0,58.61,,,,353,474,0,0,0,0,0,827,0,20,6,3.5,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11.79,10.32,0,0,29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,17.79,13.82,0,0,58.61,100,0,350,3,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,824,3,0,0,0,827,0,0,0,0,15,4,4,0,6.5,29.2,,58.7,0,0,0,0,143,189,112,183,193,7,,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1004,5,96,2,2,,Billy Donaldson,agent,(912)309-2402,(912)384-6119,bdonaldson01@windstream.net,INITIAL,3/12/2020,3/12/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20201440,40856,81,"AGUILAR, TOWN OF",101 W MAIN STREET,AGUILAR,,CO,81020,101 W. MAIN,AGUILAR,,CO,81020,Natural Gas,CO,Municipal Owned,0,0,0,8,0.25,0,0,0,0,0,8.25,0,0,0,233,38,0,0,0,0,0,271,0,7,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7.25,1,0,0,0,8.25,40,0,233,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,271,0,0,0,0,271,0,0,0,0,8,0,0,0.25,0,0,,8.25,0,0,0,0,235,0,0,0,8,28,,271,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,Derek Marquez,operator,(719)859-3484,(719) 941-4395,aguilartownclerk@gmail.com,INITIAL,4/23/2020,4/23/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20201320,40857,180,SPIRE ALABAMA INC.,2101 6TH AVENUE NORTH,BIRMINGHAM,,AL,35203,2101 6TH AVENUE NORTH,BIRMINGHAM,,AL,35203,Natural Gas,AL,Investor Owned,289.54,357.24,228.59,4512.23,5413.2,443.6,1.2,0,48,0,11293.6,36802,2280,74925,126059,305218,6,0,1035,0,0,546325,3.1,2817.9,1520.2,849.7,184.3,12.4,5387.6,0,0,1.1,0,0.1,0,1.2,0,0,0,0,0,0,0,0.2,81.9,191.7,134.5,17.2,18.1,443.6,0,0,0,0,0,0,0,7,3395.2,1531.8,478.5,0.7,0,5413.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9,15.6,1.5,0,0,0,48,,0,0,0,0,0,0,0,41.2,6310.6,3246.3,1462.7,202.3,30.5,11293.6,124,141005,95382,1733,1513,349,84,240066,0,0,0,0,0,0,0,0,1035,0,0,0,0,1035,0,0,2,4,0,0,6,0,0,0,0,0,0,0,0,278515,25115,1513,75,0,305218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,141005,374932,26850,3030,424,84,546325,472.3,173.2,282.7,1665.1,1554.9,1257.9,1316.7,1846,1484.5,1240.3,,11293.6,131695,0,0,37783,56725,55290,60903,84051,58148,61730,,546325,257,29,185,4,146,131,1,14,531,85,1791,183,226,676,6,39,68,24,182,4,48,53,0,1,293,55,1755,175,66,356,3,9,450,0,1.14,1981,464,783,643,91,276428,14090,162521,26,72,"Due to an update on our mapping system, the miles of main 'other' category increased from last year.",Bart Mason,"Manager, Pipeline Safety",(251) 288-9616,,bart.mason@spireenergy.com,SUPPLEMENTAL,3/14/2020,4/24/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20200923,40203,207,ALASKA PIPELINE CO,401 E. INTERNATIONAL AIRPORT RD,ANCHORAGE,,AK,99518,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,,AK,99519,Natural Gas,AK,Investor Owned,0,0,0,53.62,0,0,0,0,0,0,53.62,0,0,0,0,0,0,0,0,0,0,0,0,0.04,2.55,45.29,5.74,0,53.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.04,2.55,45.29,5.74,0,53.62,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.76,1.84,2.99,2.05,0.34,0.64,,53.62,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,126,0,0,0,0,,Rusty Allen,Compliance Engineer,(907)334-7765,,rusty.allen@enstarnaturalgas.com,INITIAL,3/10/2020,3/10/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20200203,39353,225,ALBANY MUNICIPAL GAS CO,106 E Clay Street,Albany,,MO,64402,106 EAST CLAY STREET,ALBANY,,MO,64402,Natural Gas,MO,Municipal Owned,0,0,0,20,7,0,0,0,0,0,27,0,0,0,616,294,0,0,0,0,0,910,0,14,3,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,3.25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17.75,6.25,3,0,0,27,60,0,607,9,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,7,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,894,16,0,0,0,910,0,0,0,0,17,3,1,0,1.5,4.5,,27,0,0,0,0,597,127,31,55,35,65,,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,208,6,50,1,4,,Steven Adams,operator,(660) 726-3935,(660) 726-5823,gas@albanymo.net,INITIAL,2/5/2020,2/5/2020,7100.1-1 (Rev. 10-2018)
3/1/2022,2019,20201225,43638,234,ALBANY WATER GAS & LIGHT COMMISSION,104 TOWN PARK AVENUE,KENNESAW,,GA,30144,916 NORTH FRONT ST,ALBANY,,GA,31703,Natural Gas,GA,Municipal Owned,0,0,0,398.222,19.503,0,0,0,0,0,417.725,0,0,0,17107,100,0,0,0,0,0,17207,0,256.342,89.88,47,5,0,398.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.873,5.26,8.37,0,0,19.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,262.215,95.14,55.37,5,0,417.725,100,0,16979,106,20,2,0,17107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,7,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,17071,113,21,2,0,17207,290.134,0,0,0,0,54.38,27,21,5,20.211,0,417.725,17105,0,0,0,0,0,0,0,0,102,0,17207,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,13,0,8,5,0,5398,11,85,3,4,Data submitted was provided by the Operator.,Chris Welborn,Agent,(678)739-6731,,cwelborn@gasauthority.com,SUPPLEMENTAL,3/13/2020,8/13/2021,7100.1-1 (Rev. 10-2018)
