DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
03/01/22,2017,20187226,34453,3,ACADIAN GAS PIPELINE SYSTEM,1100 LOUISIANA ST.,HOUSTON,TX,77002,Natural Gas,,LOUISIANA,0,14.273,14.273,652043,,,,,,,,,,,,,No,0.004,719.989,0,0,0,0,0,0,0,719.993,0,0,0,0,0,0,0,0,0,0,0.004,719.989,0,0,0,0,0,0,0,719.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,719.989,0,0,0,0,0,0,0,719.993,INITIAL,3/14/2018,3/14/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186788,33983,21,"ACACIA NATURAL GAS, L.L.C.",1722 ROUTH STREET SUITE 1300,DALLAS,TX,75201,Natural Gas,,TEXAS,0,1.39,1.39,196853,,,,,,,,,,,,,No,0,122.77,0,0,0,0,0,0,0,122.77,0,0,0,0,0,0,0,0,0,0,0,122.77,0,0,0,0,0,0,0,122.77,0,0.61,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0.61,0,123.38,0,0,0,0,0,0,0,123.38,INITIAL,3/8/2018,3/8/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Hydrogen Gas,"LOUISIANA, TEXAS","CALIFORNIA, OHIO, TEXAS",0,17.45,17.45,,,,269282,,,,,,,,,,No,0,547.7,0,0,0,0,0,0,0,547.7,0,0,0,0,0,0,0,0,0,0,0,547.7,0,0,0,0,0,0,0,547.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.7,0,0,0,0,0,0,0,547.7,INITIAL,3/14/2018,3/14/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186896,34094,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Carbon Monoxide,,TEXAS,0,2.01,2.01,,,,,,13495,,,,,,,Carbon Monoxide,No,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.89,0,0,0,0,0,0,0,89.89,INITIAL,3/9/2018,3/9/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186773,33965,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Other Gas-Fuel Gas,,LOUISIANA,0,0.82,0.82,,,,,,0,,,,,,,Fuel Gas,No,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,0,0,9.99,INITIAL,3/7/2018,3/7/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186775,34087,117,AIR PRODUCTS & CHEMICALS INC,7201 HAMILTON BLVD.,ALLENTOWN,PA,18195-1501,Synthetic Gas,,TEXAS,0,1.74,1.74,,,4647,,,,,,,,,,,No,0,22.45,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.45,0,0,0,0,0,0,0,22.45,SUPPLEMENTAL,3/7/2018,3/9/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187366,34602,180,SPIRE ALABAMA INC.,2101 6TH AVE N,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,0,25.74,25.74,,,,,,,,,,,,,,Yes,0,226.53,0,0,0,0,0,0,0,226.53,0,0,0,0,0,0,0,0,0,0,0,226.53,0,0,0,0,0,0,0,226.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.53,0,0,0,0,0,0,0,226.53,INITIAL,3/15/2018,3/15/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20186704,33893,189,"AMERICAN MIDSTREAM (ALATENN), LLC","2103 CITYWEST BLVD. BUILDING 4, SUITE 800",HOUSTON,TX,77042,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,0,21.13,21.13,27404,,,,,,,,,,,,,No,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.26,0,0,0,0,0,0,1.64,294.9,INITIAL,3/5/2018,3/5/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187119,34336,207,ALASKA PIPELINE CO,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,0,36.525,36.525,,,,,,,,,,,,,,Yes,0,388.72,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.72,0,0,0,0,0,0,0,388.72,INITIAL,3/13/2018,3/13/2018,7100.2-1 (Rev. 10-2014)
03/01/22,2017,20187131,34950,288,"ALGONQUIN GAS TRANSMISSION, L.L.C. (SPECTRA ENERGY PARTNERS, LP)",5400 WESTHEIMER COURT,HOUSTON,TX,77056,Natural Gas,"CONNECTICUT, MASSACHUSETTS, NEW JERSEY, NEW YORK, RHODE ISLAND",,2.75,340.61,343.36,882796,,,,,,,,,,,,,No,0,1084.49,0,0,0,0,0,0,0,1084.49,0,45.44,0,0,0,0,0,0,0,45.44,0,1129.93,0,0,0,0,0,0,0,1129.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.93,0,0,0,0,0,0,0,1129.93,SUPPLEMENTAL,3/13/2018,5/4/2018,7100.2-1 (Rev. 10-2014)
