DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTRC1HCA125ABLE,PARTRC1HCA125NABLE,PARTRC1HCA12511ABLE,PARTRC1HCA12511NABLE,PARTRC1HCALESS11ABLE,PARTRC1HCALESS11NABLE,PARTRC2HCA125ABLE,PARTRC2HCA125NABLE,PARTRC2HCA12511ABLE,PARTRC2HCA12511NABLE,PARTRC2HCALESS11ABLE,PARTRC2HCALESS11NABLE,PARTRC3HCA125ABLE,PARTRC3HCA125NABLE,PARTRC3HCA12511ABLE,PARTRC3HCA12511NABLE,PARTRC3HCALESS11ABLE,PARTRC3HCALESS11NABLE,PARTRC4HCA125ABLE,PARTRC4HCA125NABLE,PARTRC4HCA12511ABLE,PARTRC4HCA12511NABLE,PARTRC4HCALESS11ABLE,PARTRC4HCALESS11NABLE,PARTRHCA125ABLETOT,PARTRHCA125NABLETOT,PARTRHCA12511ABLETOT,PARTRHCA12511NABLETOT,PARTRHCALESS11ABLETOT,PARTRHCALESS11NABLETOT,PARTRC1NHCA125ABLE,PARTRC1NHCA125NABLE,PARTRC1NHCA12511ABLE,PARTRC1NHCA12511NABLE,PARTRC1NHCALESS11ABLE,PARTRC1NHCALESS11NABLE,PARTRC2NHCA125ABLE,PARTRC2NHCA125NABLE,PARTRC2NHCA12511ABLE,PARTRC2NHCA12511NABLE,PARTRC2NHCALESS11ABLE,PARTRC2NHCALESS11NABLE,PARTRC3NHCA125ABLE,PARTRC3NHCA125NABLE,PARTRC3NHCA12511ABLE,PARTRC3NHCA12511NABLE,PARTRC3NHCALESS11ABLE,PARTRC3NHCALESS11NABLE,PARTRC4NHCA125ABLE,PARTRC4NHCA125NABLE,PARTRC4NHCA12511ABLE,PARTRC4NHCA12511NABLE,PARTRC4NHCALESS11ABLE,PARTRC4NHCALESS11NABLE,PARTRNHCA125ABLETOT,PARTRNHCA125NABLETOT,PARTRNHCA12511ABLETOT,PARTRNHCA12511NABLETOT,PARTRNHCALESS11ABLETOT,PARTRNHCALESS11NABLETOT,PARTR125ABLETOT,PARTR125NABLETOT,PARTR12511ABLETOT,PARTR12511NABLETOT,PARTRLESS11ABLETOT,PARTRLESS11NABLETOT,PARTRPT125TOT,PARTRPT12511TOT,PARTRPTLESS11TOT,PARTRTOTAL,PARTRINSPABLETOT,PARTRINSPNABLETOT,PARTPARTRINSPTOTAL
3/1/2022,2017,20187226,34453,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,4.534,0.016,0,0,0,0,3.217,0.105,0,0,0,0,5.551,0.571,0,0,0,0,0.279,0,0,0,0,0,13.581,0.692,0,0,0,0,523.133,42.137,22.96,15.941,18.925,26.39,17.761,4.01,1.348,0.08,0,1.168,27.719,3.642,0,0,0,0.448,0.057,0,0,0,0,0,568.67,49.789,24.308,16.021,18.925,28.006,582.251,50.481,24.308,16.021,18.925,28.006,632.732,40.329,46.931,719.992,625.484,94.508,719.992
3/1/2022,2017,20186788,33983,21,"ACACIA NATURAL GAS, L.L.C.",Natural Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,94.44,0,0,0,0,0,24.63,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,121.38,0,0,0,0,0,122.77,0,0,0,0,0,122.77,0,0,122.77,122.77,0,122.77
3/1/2022,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0.03,0,0,0,0,0,0.34,0,0,0,0,0,2.04,1.68,0,0,0,0,0,0,0,0,0,0,2.41,1.68,0,0,0,0,140.21,62.97,0,0,0,0,60.79,24.88,0,0,0,0,28.27,7.48,0,0,0,0,0,0,0,0,0,0,229.27,95.33,0,0,0,0,231.68,97.01,0,0,0,0,328.69,0,0,328.69,231.68,97.01,328.69
3/1/2022,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.02,0.03,0,0,0,0,0.12,0.39,0,0,0,0,2.54,4.4,0,0,0,0,0,0,0,0,0,0,2.68,4.82,0,0,0,0,55.81,12.5,0,1.27,0,0,25.43,14.5,0,1.93,0,0,19.99,11.21,0,0,0,0,0,0,0,0,0,0,101.23,38.21,0,3.2,0,0,103.91,43.03,0,3.2,0,0,146.94,3.2,0,150.14,103.91,46.23,150.14
3/1/2022,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.02,0,0,0,0,1.94,0,0,0,0,0,3.89,1.02,0,0,0,0,0.26,1.5,0,0,0,0,1.74,0.89,0,0,0,0,1.52,3.07,0,0,0,0,0.23,0,0,0,0,0,3.75,5.46,0,0,0,0,7.64,6.48,0,0,0,0,14.12,0,0,14.12,7.64,6.48,14.12
3/1/2022,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,2.04,0,0,0,0,2.04,0,0,2.04,0,2.04,2.04
3/1/2022,2017,20187198,34420,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0.45,11.32,0,0,0,0,1.12,22.73,0,0,0,0,0.09,16.05,0,0,0,0,0,0,0,0,0,0,1.66,50.1,0,0,0,0,1.66,51.05,0,0,0,0,52.71,0,0,52.71,1.66,51.05,52.71
3/1/2022,2017,20186896,34094,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,8.62,28.3,0,0,0,0,0,18.67,0,0,0,0,0,32.29,0,0,0,0,0,0,0,0,0,0,8.62,79.26,0,0,0,0,8.62,81.27,0,0,0,0,89.89,0,0,89.89,8.62,81.27,89.89
3/1/2022,2017,20186773,33965,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTRASTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,5.91,0,0,0,0,0,1.31,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0,10,0,0,0,0,10,0,0,10,0,10,10
3/1/2022,2017,20186775,34087,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,5.51,0,0,0,0,0,5.47,0,0,0,0,0,9.73,0,0,0,0,0,0,0,0,0,0,0,20.71,0,0,0,0,0,22.45,0,0,0,0,22.45,0,0,22.45,0,22.45,22.45
