DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTLTONC1,PARTLTONC2,PARTLTONC3,PARTLTONC4,PARTLTONTOT,PARTLTOFFC1,PARTLTOFFTOT,PARTLTC1TOT,PARTLTC2TOT,PARTLTC3TOT,PARTLTC4TOT,PARTLTTOTAL,PARTLGONAC2,PARTLGONAC3,PARTLGONAC4,PARTLGONATOT,PARTLGONBC2,PARTLGONBC3,PARTLGONBC4,PARTLGONBTOT,PARTLGOFFC1,PARTLGOFFTOT,PARTLGC1TOT,PARTLGC2TOT,PARTLGC3TOT,PARTLGC4TOT,PARTLGTOTAL,PARTLC1TOT,PARTLC2TOT,PARTLC3TOT,PARTLC4TOT,PARTLTOTAL,PARTLTONIMP,PARTLTOFFIMP,PARTLTOTALIMP
03/01/22,2018,20190377,35712,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,655.55,26.786,37.923,0.548,720.807,0,0,655.55,26.786,37.923,0.548,720.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655.55,26.786,37.923,0.548,720.807,14.425,,14.425
03/01/22,2018,20190613,35959,21,"ACACIA NATURAL GAS, L.L.C.",Natural Gas,INTRASTATE,TEXAS,94.492,24.6,3.697,0,122.789,0,0,94.492,24.6,3.697,0,122.789,0,0.612,0,0.612,0,0,0,0,0,0,0,0,0.612,0,0.612,94.492,24.6,4.309,0,123.401,1.653,,1.653
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,205.2,82.89,40.61,0,328.7,0,0,205.2,82.89,40.61,0,328.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.2,82.89,40.61,0,328.7,3.69,,3.69
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,69.68,43.71,37.11,0,150.5,0,0,69.68,43.71,37.11,0,150.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.68,43.71,37.11,0,150.5,7.7,,7.7
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,1.76,2.61,7.57,2.17,14.11,0,0,1.76,2.61,7.57,2.17,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,2.61,7.57,2.17,14.11,4.93,,4.93
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.12,1.92,0,2.04,0,0,0,0.12,1.92,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.92,0,2.04,0,,0
03/01/22,2018,20190424,35760,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,11.15,24.42,17.06,0,52.63,0,0,11.15,24.42,17.06,0,52.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,24.42,17.06,0,52.63,0.91,,0.91
03/01/22,2018,20190304,35625,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,36.27,19.46,34.14,0,89.87,0,0,36.27,19.46,34.14,0,89.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.27,19.46,34.14,0,89.87,2,,2
03/01/22,2018,20190311,35644,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTRASTATE,LOUISIANA,5.94,1.27,2.77,0,9.98,0,0,5.94,1.27,2.77,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,1.27,2.77,0,9.98,0.63,,0.63
03/01/22,2018,20190308,35629,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,4.96,6.05,11.46,0,22.47,0,0,4.96,6.05,11.46,0,22.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,6.05,11.46,0,22.47,1.66,,1.66
