DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTK20LESSC1,PARTK20LESSC2,PARTK20LESSC3,PARTK20LESSC4,PARTK20LESSTOT,PARTK2029C1,PARTK2029C2,PARTK2029C3,PARTK2029C4,PARTK2029TOT,PARTK3040C1,PARTK3040C2,PARTK3040C3,PARTK3040C4,PARTK3040TOT,PARTK4150C1,PARTK4150C2,PARTK4150C3,PARTK4150C4,PARTK4150TOT,PARTK5160C1,PARTK5160C2,PARTK5160C3,PARTK5160C4,PARTK5160TOT,PARTK6172C1,PARTK6172C2,PARTK6172C3,PARTK6172C4,PARTK6172TOT,PARTK7380C1,PARTK7380C2,PARTK7380C3,PARTK7380C4,PARTK7380TOT,PARTK80MOREC1,PARTK80MOREC2,PARTK80MOREC3,PARTK80MOREC4,PARTK80MORETOT,PARTKUNKNOWNC1,PARTKUNKNOWNC2,PARTKUNKNOWNC3,PARTKUNKNOWNC4,PARTKUNKNOWNTOT,PARTKNONSTEELC1,PARTKNONSTEELC2,PARTKNONSTEELC3,PARTKNONSTEELC4,PARTKNONSTEELTOT,PARTKONC1TOT,PARTKONC2TOT,PARTKONC3TOT,PARTKONC4TOT,PARTKONTOTAL,PARTKOFFLESS50,PARTKOFF5172,PARTKOFF72MORE,PARTKOFFUNKNOWN,PARTKOFFNONSTEEL,PARTKOFFTOTAL,PARTKC1TOT,PARTKC2TOT,PARTKC3TOT,PARTKC4TOT,PARTKTOTAL
03/01/22,2019,20200984,37682,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,57.109,8.612,25.893,0,91.614,28.835,8.126,2.681,0,39.642,129.433,24.875,9.649,0.337,164.294,320.065,33.705,27.833,0.082,381.685,230.237,19.587,8.508,0,258.332,348.17,2.02,0,0,350.19,0.018,0,0,0,0.018,1.139,0.031,0,0,1.17,5.168,0.03,0.857,0.133,6.188,0,0,0,0,0,1120.174,96.986,75.421,0.552,1293.133,0,0,0,0,0,0,1120.174,96.986,75.421,0.552,1293.133
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,3.77,0,0.18,0,3.95,51.25,9.57,10.81,0,71.63,14.37,19.33,10.62,0,44.32,107.82,53.76,19.92,0,181.5,26.77,0.62,0,0,27.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.98,83.28,41.53,0,328.79,0,0,0,0,0,0,203.98,83.28,41.53,0,328.79
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0.09,1.59,0.06,0,1.74,11.48,8.18,15.02,0,34.68,49.24,17.33,17.46,0,84.03,5.65,12.01,4.17,0,21.83,5.46,4.48,0,0,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92,43.59,36.71,0,152.22,0,0,0,0,0,0,71.92,43.59,36.71,0,152.22
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0.02,0.33,0.06,0.41,0.93,0.28,3.74,1.94,6.89,0.83,2.3,3.51,0.17,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,2.6,7.58,2.17,14.11,0,0,0,0,0,0,1.76,2.6,7.58,2.17,14.11
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0.12,1.92,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.92,0,2.04,0,0,0,0,0,0,0,0.12,1.92,0,2.04
03/01/22,2019,20200893,37588,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,1.73,12.71,8.71,0,23.15,6.38,6.65,4.18,0,17.21,0.83,0.63,0.29,0,1.75,0.07,4.46,3.68,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,24.45,16.86,0,50.32,0,0,0,0,0,0,9.01,24.45,16.86,0,50.32
03/01/22,2019,20200892,37587,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0.71,1.19,4.5,0,6.4,27.21,16.38,28.55,0,72.14,8.33,1.98,1.04,0,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.25,19.55,34.09,0,89.89,0,0,0,0,0,0,36.25,19.55,34.09,0,89.89
03/01/22,2019,20200828,37520,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,1.31,0.45,2.68,0,4.44,4.63,0.82,0.09,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,1.27,2.77,0,9.98,0,0,0,0,0,0,5.94,1.27,2.77,0,9.98
03/01/22,2019,20200891,37585,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0.53,0.24,5.41,0,6.18,4.26,4.93,2.67,0,11.86,0,0.01,0.02,0,0.03,0,1.07,2.97,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,6.25,11.07,0,22.11,0,0,0,0,0,0,4.79,6.25,11.07,0,22.11
03/01/22,2019,20201206,37911,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0.566,0.613,2.881,0.202,4.262,17.513,16.552,25.408,1.931,61.404,21.802,40.243,33.14,0,95.185,12.883,8.794,17.597,0,39.274,5.168,3.68,5.54,0,14.388,0,0,0,0,0,0,0,0,0,0,0,0,9.457,0,9.457,0,0,0,0,0,0,0,0,0,0,57.932,69.882,94.023,2.133,223.97,0,0,0,0,0,0,57.932,69.882,94.023,2.133,223.97
