DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA5COMMODITY,INTER_INTRA,STATE_NAME,PARTQC1HCAA1,PARTQC1HCAA1INC,PARTQC1HCAA2,PARTQC1HCAA2INC,PARTQC1HCAA3,PARTQC1HCAA3INC,PARTQC1HCAA4,PARTQC1HCAA4INC,PARTQC1HCAC,PARTQC1HCACINC,PARTQC1HCAD,PARTQC1HCADINC,PARTQC1HCAOTH,PARTQC1HCAOTHINC,PARTQC1NHCAA1,PARTQC1NHCAA2,PARTQC1NHCAA3,PARTQC1NHCAA4,PARTQC1NHCAC,PARTQC1NHCAD,PARTQC1NHCAOTH,PARTQC2HCAA1,PARTQC2HCAA1INC,PARTQC2HCAA2,PARTQC2HCAA2INC,PARTQC2HCAA3,PARTQC2HCAA3INC,PARTQC2HCAA4,PARTQC2HCAA4INC,PARTQC2HCAC,PARTQC2HCACINC,PARTQC2HCAD,PARTQC2HCADINC,PARTQC2HCAOTH,PARTQC2HCAOTHINC,PARTQC2NHCAA1,PARTQC2NHCAA2,PARTQC2NHCAA3,PARTQC2NHCAA4,PARTQC2NHCAC,PARTQC2NHCAD,PARTQC2NHCAOTH,PARTQC3HCAA1,PARTQC3HCAA1INC,PARTQC3HCAA2,PARTQC3HCAA2INC,PARTQC3HCAA3,PARTQC3HCAA3INC,PARTQC3HCAA4,PARTQC3HCAA4INC,PARTQC3HCAC,PARTQC3HCACINC,PARTQC3HCAD,PARTQC3HCADINC,PARTQC3HCAOTH,PARTQC3HCAOTHINC,PARTQC3NHCAA1,PARTQC3NHCAA1INC,PARTQC3NHCAA2,PARTQC3NHCAA2INC,PARTQC3NHCAA3,PARTQC3NHCAA3INC,PARTQC3NHCAA4,PARTQC3NHCAA4INC,PARTQC3NHCAC,PARTQC3NHCACINC,PARTQC3NHCAD,PARTQC3NHCADINC,PARTQC3NHCAOTH,PARTQC3NHCAOTHINC,PARTQC4HCAA1,PARTQC4HCAA1INC,PARTQC4HCAA2,PARTQC4HCAA2INC,PARTQC4HCAA3,PARTQC4HCAA3INC,PARTQC4HCAA4,PARTQC4HCAA4INC,PARTQC4HCAC,PARTQC4HCACINC,PARTQC4HCAD,PARTQC4HCADINC,PARTQC4HCAOTH,PARTQC4HCAOTHINC,PARTQC4NHCAA1,PARTQC4NHCAA1INC,PARTQC4NHCAA2,PARTQC4NHCAA2INC,PARTQC4NHCAA3,PARTQC4NHCAA3INC,PARTQC4NHCAA4,PARTQC4NHCAA4INC,PARTQC4NHCAC,PARTQC4NHCACINC,PARTQC4NHCAD,PARTQC4NHCADINC,PARTQC4NHCAOTH,PARTQC4NHCAOTHINC,PARTQA1TOT,PARTQA1INCTOT,PARTQA2TOT,PARTQA2INCTOT,PARTQA3TOT,PARTQA3INCTOT,PARTQA4TOT,PARTQA4INCTOT,PARTQCTOT,PARTQCINCTOT,PARTQDTOT,PARTQDINCTOT,PARTQOTHTOT,PARTQOTHINCTOT,PARTQALLTOTAL,PARTQALLINCTOTAL,PARTQOTHC1HCA,PARTQOTHC1NOHCA,PARTQOTHC2HCA,PARTQOTHC2NOHCA,PARTQOTHC3HCA,PARTQOTHC3NOHCA,PARTQOTHC4HCA,PARTQOTHC4NOHCA
3/1/2022,2020,20211098,39417,3,ACADIAN GAS PIPELINE SYSTEM,Natural Gas,INTRASTATE,LOUISIANA,4.984,0,0.102,0,0,0,0,0,0.03,0,0,0,0,0,679.992,295.471,0,42.832,95.913,0,0,4.452,0,0.377,0,0,0,0,0,0.677,0,0,0,0,0,34.541,46.054,0,1.465,10.25,0,0,9.03,0,3.693,0,0,0,0,0,1.935,0,0,0,0,0,12.782,0.116,42.747,0,0,0,0.847,0.716,4.663,0.05,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0.215,0.215,0.057,0,0,0,0,0,0,0,0,0,0,,745.996,0.331,388.78,0,0,0,45.144,0.716,113.468,0.05,0,0,0,0,1293.388,1.097,,,,,,,,
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,LOUISIANA,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,82.69,0,120.61,0,0,0,0,0,0.28,0,0,0,0.01,0,0,0,0,0,0,0,0,52.81,0,30.86,0,0,0,0,0,1.71,0,0,0,1.64,0,0,0,0,0,0,0,0,0,22.53,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,160.08,0,0,0,168.65,0,0,0,0,0,0,0,328.73,0,,,,,,,,
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTERSTATE,TEXAS,0,0,0.02,0,0,0,0.03,0,0,0,0,0,0,0,0,52.41,0,19.34,0,0,0,0,0,0.12,0,0,0,0.49,0,0,0,0,0,0,0,0,23.31,0,20.95,0,0,0,0,0,1.52,0,0,0,5.48,0,0,0,0,0,0,0,0,0,13.02,0,0,0,15.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,90.4,0,0,0,61.84,0,0,0,0,0,0,0,152.24,0,,,,,,,,
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,CALIFORNIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.93,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,0,0.03,0,0,0,0,0,1.95,0,0,0,1.05,0,0,0,0,0,0,0,0,0,2.84,0,0,0,1.74,0,0,0,0,0,0,0,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.06,0,0,0,0,0,0,,0.58,0,10.4,0,0,0,3.14,0,0,0,0,0,0,0,14.12,0,,,,,,,,
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,OHIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,,,,,,,,
3/1/2022,2020,20211311,39644,117,AIR PRODUCTS & CHEMICALS INC,Hydrogen Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,2.88,0,19.8,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0.37,0,0.33,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.54,0,3.67,0,0,0,45.12,0,0,0,0,0,0,0,50.33,0,,,,,,,,
3/1/2022,2020,20211305,39638,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Carbon Monoxide,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,33.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,17.14,0,0,0,0.52,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0.95,0,0,0,0,0,31.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.17,0,0,0,0,0,83.71,0,0,0,0,0,0,0,89.88,0,,,,,,,,
3/1/2022,2020,20211294,39622,117,AIR PRODUCTS & CHEMICALS INC,Other Gas-Fuel Gas,INTERSTATE,LOUISIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,,,,,,,,
3/1/2022,2020,20211306,39639,117,AIR PRODUCTS & CHEMICALS INC,Synthetic Gas,INTRASTATE,TEXAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,3.51,0,0,0,0,0,0.77,0,0,0,0.68,0,0,0,0,0,0,0,0,0,3,0,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,6.42,0,0,0,15.69,0,0,0,0,0,0,0,22.11,0,,,,,,,,
3/1/2022,2020,20211181,39501,180,SPIRE ALABAMA INC.,Natural Gas,INTRASTATE,ALABAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.648,43.678,0,0,0,0,0,0,0,2.289,0,0,0,0,0,0,0,0,0,0,0,2.526,66.643,0,0,0,0,0,0,0,23.422,0,0,0,0,0,0,0,0,0,0,0,3.693,0,64.302,1.656,0,0,0,0,0,0,0,0,0,0,0,0,1.953,0,0,0,0,0,0,0,0,0,0,0,0,0,1.367,0,0,0,0,0,0,0,0,0,0,,18.867,0,203.654,1.656,0,0,0,0,0,0,0,0,0,0,222.521,1.656,,,,,,,,
