DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,OPERATOR_NAME,PARTB_UNGS_FACILITY_NAME,PARTB_INTER_INTRA,PARTB_UNIT_ID,PARTB_LOCATION_LATITUDE,PARTB_LOCATION_LONGITUDE,PARTB_LOCATION_STATE_ABBR,PARTB_LOCATION_STATE_NAME,PARTB_LOCATION_COUNTY,PARTB_EIA_GAS_FIELD_CODE,PARTB_WORKING_GAS_CAPACITY_BCF,PARTB_BASE_GAS_CAPACITY_BCF,PARTB_TOTAL_GAS_CAPACITY_BCF,PARTB_VOL_WTHDRWN_AT_FCLTY_BCF,PARTB_VOL_INJCTD_AT_FCLTY_BCF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Austin,Inter,87289,43.62865,-85.38688,MI,Michigan,MECOSTA,107,7,16.07,23.07,7.12,7.48,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Blue Lake 18A,Inter,87338,44.83061,-84.9459,MI,Michigan,KALKASKA,079,47.09,7.03,54.12,19.07,25.27,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Central Charlton,Inter,87292,45.01432,-84.37577,MI,Michigan,OTSEGO,137,14.1,4.9,19,7.04,5.71,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Cold Springs 1,Inter,87298,44.8411,-84.96876,MI,Michigan,KALKASKA,079,15.33,4.05,19.38,2.72,4.1,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Cold Springs 12,Inter,87299,44.83539,-84.96678,MI,Michigan,KALKASKA,079,25.26,3.63,28.89,8.94,10.01,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Cold Springs 31,Inter,87297,44.77311,-85.07414,MI,Michigan,KALKASKA,079,5,0.75,5.75,0.62,0.79,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Eaton Rapids 36,Intra,87984,42.50642,-84.59604,MI,Michigan,INGHAM,065,12.98,3.25,16.23,6.96,9.08,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Excelsior 6/East Kalkaska 1,Inter,87300,44.77053,-85.0847,MI,Michigan,KALKASKA,079,10.81,1.5,12.31,1.69,2.88,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Goodwell,Inter,87290,43.61674,-85.64678,MI,Michigan,NEWAYGO,123,21.3,10.4,31.7,22.6,21.83,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Lincoln/Freeman,Inter,87337,43.93322,-84.93884,MI,Michigan,CLARE,035,18.5,17.22,35.72,8.2,10.92,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Loreed,Inter,87296,43.9336,-85.53753,MI,Michigan,OSCEOLA,133,19,23.21,42.21,12.61,12.04,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Muttonville,Inter,87336,42.7715,-82.74616,MI,Michigan,MACOMB,099,8.2,5.21,13.41,2.1,2.67,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Rapid River 35,Inter,87294,44.77848,-85.1209,MI,Michigan,KALKASKA,133,15.05,2.28,17.33,2.03,5.39,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Reed City,Inter,87293,43.93069,-85.54955,MI,Michigan,OSCEOLA,133,15.2,13.71,28.91,15.53,13.63,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,South Chester 15,Inter,87295,44.90654,-84.53595,MI,Michigan,OTSEGO,137,14.6,4.86,19.46,6.61,6.78,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210072,2483,405,ANR PIPELINE CO,Winfield,Inter,87291,43.44215,-85.42709,MI,Michigan,MONTCALM,177,1.9,8.53,10.43,1.26,1.08,SUPPLEMENTAL,3/11/2021,10/18/2021
3/1/2022,2020,20210076,2018,602,"ENABLE GAS TRANSMISSION, LLC",Ada,Inter,87985,34.82327,-96.68887,OK,Oklahoma,PONTOTOC,2830,12.6,8.41,21.01,14.07,11.01,INITIAL,3/11/2021,3/11/2021
3/1/2022,2020,20210076,2018,602,"ENABLE GAS TRANSMISSION, LLC",Chiles Dome,Inter,87986,34.71164,-96.29656,OK,Oklahoma,COAL,138766,12.6,11,23.6,9.22,8.5,INITIAL,3/11/2021,3/11/2021
3/1/2022,2020,20210076,2018,602,"ENABLE GAS TRANSMISSION, LLC",Ruston,Inter,87279,32.61995,-92.61315,LA,Louisiana,LINCOLN,620502,4,3,7,0.16,3.71,INITIAL,3/11/2021,3/11/2021
3/1/2022,2020,20210100,2046,1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",Huntsman Gas Storage Field,Inter,87987,41.19844,-102.9933,NE,Nebraska,CHEYENNE,340291,15.97,23.5,39.47,9.39,9.53,INITIAL,3/12/2021,3/12/2021
3/1/2022,2020,20210015,1808,1217,BEAR CREEK STORAGE CO,Bear Creek,Inter,87276,32.3743,-92.94288,LA,Louisiana,BIENVILLE,048643,59.2,48.7,107.9,43.27,37.3,INITIAL,2/9/2021,2/9/2021
3/1/2022,2020,20210052,1943,2392,CITIZENS GAS & COKE UTILITY,Dixon,Intra,87988,39.0594,-87.03231,IN,Indiana,GREENE,193998,0.87,1.91,2.78,0.43,0.37,INITIAL,3/3/2021,3/3/2021
